country_code,trust,not_trust,dk,n
AL ,372,595,38,"1,005"
AT ,506,430,86,"1,022"
BE ,380,643,34,"1,057"
BG ,258,664,109,"1,031"
CY ,194,283,28,505
CY-TCC ,0,0,0,0
CZ ,351,619,34,"1,004"
DE-E ,171,264,17,452
DE-W ,512,474,49,"1,035"
DK ,564,302,147,"1,013"
EE ,473,427,103,"1,003"
ES ,249,713,45,"1,007"
FI ,575,304,125,"1,004"
FR ,294,678,41,"1,013"
GB ,199,754,79,"1,032"
GR ,207,792,13,"1,012"
HR ,110,866,38,"1,014"
HU ,494,504,40,"1,038"
IE ,450,516,62,"1,028"
IT ,329,660,37,"1,026"
LT ,444,504,58,"1,006"
LU ,370,89,47,506
LV ,316,602,98,"1,016"
ME ,225,287,20,532
MK ,338,609,70,"1,017"
MT ,299,130,74,503
NL ,617,362,41,"1,020"
PL ,389,554,57,"1,000"
PT ,421,552,35,"1,008"
RO ,217,760,48,"1,025"
RS ,384,544,70,998
SE ,581,414,20,"1,015"
SI ,370,608,33,"1,011"
SK ,317,678,63,"1,058"
TR ,456,488,64,"1,008"
N=,"12,432","17,669","1,923","32,024"
